,hawkish
815,낮/VA;물가/NNG;상승/NNG
816,리트/NNG
817,가계/NNG;부채/NNG;원리금/NNG;상환/NNG;부담/NNG
818,경상/NNG;수지/NNG;상품/NNG;수지/NNG;흑자/NNG
819,투자/NNG;증가/NNG;둔화/NNG
820,투자/NNG;여건/NNG;악화/NNG
821,경제정책/NNG;성장/NNG
822,최저임금/NNG;상승/NNG
823,둔화/NNG;성장/NNG
824,이러한/VA
825,플래트닝/NNG;일드커브/NNG;플래트닝/NNG
826,인플레이션/NNG;기대/NNG;확산/NNG
827,장단기스프레드/NNG;축소/NNG
828,명훈/NNG
829,가상화폐/NNG
830,혔/XSV
831,수호천사/NNG
832,경영혁신/NNG
833,중고차/NNG
834,경매시장/NNG
835,신건/NNG
836,가계/NNG;대출/NNG;이자/NNG;부담/NNG
837,미납/NNG
838,혈압/NNG
839,조부모/NNG
840,예정이율/NNG
841,급금/NNG
842,근원/NNG;pce/NNG;물가/NNG;상승/NNG
843,부진/NNG;fed/NNG;금리/NNG;인상/NNG
844,물가/NNG;지표/NNG;부진/NNG
845,물가/NNG;부진/NNG
846,인플레이션/NNG;압력/NNG;크/VV
847,수출/NNG;경기/NNG;호조/NNG
848,물가/NNG;지표/NNG;안정/NNG
849,재정/NNG;악화/NNG;우려/NNG
850,출구전략/NNG;시기상조/NNG
851,양적완화/NNG;부정적/VAX
852,물가/NNG;인상/NNG
853,部/NNG
854,끈기/NNG
855,알고리즘/NNG
856,가처분/NNG;소득/NNG;증가/NNG
857,전망/NNG;긍정적/VAX
858,공제제도/NNG
859,예치금액/NNG
860,수출/NNG;경쟁력/NNG;부정적/VAX
861,지정학/NNG;위험/NNG;크/VV
862,기대/NNG;작/VA;않/VX
863,긴축/NNG;전환/NNG
864,송환/NNG
865,일회/NNG
866,위회/NNG
867,신년사/NNG
868,위문/NNG
869,포상금/NNG
870,방학/NNG
871,아르바이트/NNG
872,배당락일/NNG
873,두뇌/NNG
874,발개위/NNG
875,화공품/NNG
876,신년/NNG
877,기우/NNG
878,잠재/NNG;성장률/NNG;오르/VV
879,산림청/NNG
880,인플레이션/NNG;물가/NNG;상승/NNG
881,뗐/VV
882,하락/NNG;기대/NNG;크/VV
883,가격/NNG;개선/NNG
884,입법화/NNG
885,국고채/NNG;지표/NNG;금리/NNG;하락/NNG
886,수익구조/NNG;개선/NNG
887,좋/VA;개선/NNG
888,세무사/NNG
889,요식/NNG
890,상표/NNG
891,부착/NNG
892,재무상태표/NNG
893,가지급금/NNG
894,종단/NNG
895,영업권/NNG
896,상표권/NNG
897,임금/NNG;오르/VV;않/VX
898,어드밴티지/NNG
899,글로벌/NNG;경기/NNG;호조/NNG
900,경기/NNG;회복/NNG;확산/NNG
901,실적/NNG;모멘텀/NNG
902,유동성/NNG;축소/NNG
903,교역/NNG;증가/NNG
904,유동성/NNG;줄/VV
905,스튜어드십코드/NNG
906,주주환원정책/NNG
907,전약후강/NNG
908,뛰어오를/VV
909,물가/NNG;상승/NNG;fed/NNG;금리/NNG;인상/NNG
910,우려/NNG;완전히/MAG;해소/NNG
911,지표/NNG;약화/NNG
912,저축/NNG;줄/VV
913,쉐/NNG
914,블/NNG
915,과반/NNG
916,폐장/NNG
917,신흥국/NNG;금융시장/NNG;불안/NNG
918,글로벌/NNG;유동성/NNG;감소/NNG
919,대미/NNG;무역/NNG;흑자/NNG
920,무역/NNG;흑자/NNG;축소/NNG
921,산업/NNG;경쟁력/NNG;높/VV
922,인플레이션/NNG;불확실성/NNG
923,많/VA;경기/NNG;회복/NNG
924,강하/VA;긴축/NNG
925,자산/NNG;줄/VV
926,대출/NNG;규제/NNG;금리/NNG;인상/NNG
927,재개발재건축/NNG
928,정부규제/NNG
929,도급/NNG
930,연안/NNG
931,경제정책/NNG;금리/NNG;인상/NNG
932,둔화/NNG;가능성/NNG;우려/NNG
933,원자재/NNG;수요/NNG;감소/NNG
934,연체/NNG;금리/NNG;인하/NNG
935,피해/NNG;막/VV
936,자분/NNG
937,횡행/NNG
938,성장/NNG;발목/NNG;잡/VV
939,딴/VV
940,충실하/VV
941,걸으며/VV
942,대손비용/NNG;늘/VV
943,쇠퇴/NNG
944,진단서/NNG
945,소견/NNG
946,어기/VV
947,전망/NNG;경기/NNG;회복/NNG
948,원주/NNG
949,기독/NNG
